,gene_name,ribosomal_subunit
ENSG00000007952,NOX1,False
ENSG00000007968,E2F2,False
ENSG00000008018,PSMB1,False
ENSG00000008056,SYN1,False
ENSG00000008083,JARID2,False
ENSG00000008086,CDKL5,False
ENSG00000008118,CAMK1G,False
ENSG00000008128,CDK11A,False
ENSG00000008130,NADK,False
ENSG00000008196,TFAP2B,False
ENSG00000008226,DLEC1,False
ENSG00000008256,CYTH3,False
ENSG00000008277,ADAM22,False
ENSG00000008282,SYPL1,False
ENSG00000008283,CYB561,False
ENSG00000008294,SPAG9,False
ENSG00000008300,CELSR3,False
ENSG00000008311,AASS,False
ENSG00000008323,PLEKHG6,False
ENSG00000008324,SS18L2,False
ENSG00000008382,MPND,False
ENSG00000008394,MGST1,False
ENSG00000008405,CRY1,False
ENSG00000008438,PGLYRP1,False
ENSG00000008441,NFIX,False
ENSG00000008513,ST3GAL1,False
ENSG00000008516,MMP25,False
ENSG00000008517,IL32,False
ENSG00000008710,PKD1,False
ENSG00000008735,MAPK8IP2,False
ENSG00000008838,MED24,False
ENSG00000008853,RHOBTB2,False
ENSG00000008869,HEATR5B,False
ENSG00000008952,SEC62,False
ENSG00000008988,RPS20,True
ENSG00000009307,CSDE1,False
ENSG00000009335,UBE3C,False
ENSG00000009413,REV3L,False
ENSG00000009694,TENM1,False
ENSG00000009724,MASP2,False
ENSG00000009765,IYD,False
ENSG00000009780,FAM76A,False
ENSG00000009790,TRAF3IP3,False
ENSG00000009830,POMT2,False
ENSG00000009844,VTA1,False
ENSG00000009950,MLXIPL,False
ENSG00000009954,BAZ1B,False
ENSG00000010017,RANBP9,False
ENSG00000010030,ETV7,False
ENSG00000010072,SPRTN,False
ENSG00000010165,METTL13,False
ENSG00000010219,DYRK4,False
ENSG00000010244,ZNF207,False
ENSG00000010256,UQCRC1,False
ENSG00000010270,STARD3NL,False
ENSG00000010278,CD9,False
ENSG00000010282,HHATL,False
ENSG00000010292,NCAPD2,False
ENSG00000010295,IFFO1,False
ENSG00000010310,GIPR,False
ENSG00000010318,PHF7,False
ENSG00000010319,SEMA3G,False
ENSG00000010322,NISCH,False
ENSG00000010327,STAB1,False
ENSG00000010361,FUZ,False
ENSG00000010379,SLC6A13,False
ENSG00000010404,IDS,False
ENSG00000010438,PRSS3,False
ENSG00000010539,ZNF200,False
ENSG00000010610,CD4,False
ENSG00000010626,LRRC23,False
ENSG00000010671,BTK,False
ENSG00000010704,HFE,False
ENSG00000010803,SCMH1,False
ENSG00000010810,FYN,False
ENSG00000010818,HIVEP2,False
ENSG00000010932,FMO1,False
ENSG00000011007,TCEB3,False
ENSG00000011009,LYPLA2,False
ENSG00000011021,CLCN6,False
ENSG00000011028,MRC2,False
ENSG00000011105,TSPAN9,False
ENSG00000011114,BTBD7,False
ENSG00000011132,APBA3,False
ENSG00000011143,MKS1,False
ENSG00000011198,ABHD5,False
ENSG00000011201,KAL1,False
ENSG00000011243,AKAP8L,False
ENSG00000011258,MBTD1,False
ENSG00000011260,UTP18,False
ENSG00000011275,RNF216,False
ENSG00000011295,TTC19,False
ENSG00000011304,PTBP1,False
ENSG00000011332,DPF1,False
ENSG00000011347,SYT7,False
ENSG00000011376,LARS2,False
ENSG00000011405,PIK3C2A,False
ENSG00000011422,PLAUR,False
ENSG00000011426,ANLN,False
ENSG00000011451,WIZ,False
ENSG00000011454,RABGAP1,False
ENSG00000011465,DCN,False
ENSG00000011478,QPCTL,False
